## DEGs of mapped genes


## T0s VS T14s ##


## NS (469)
Comparison of groups:  2-1 
                    logFC    logCPM       PValue          FDR
XM_001623354.3  0.8358848  5.105983 1.286037e-04 2.728669e-03
XM_048722050.1 -0.8439882  4.226863 1.305985e-04 2.762281e-03
XM_048726232.1 -0.8509833  4.472863 1.312096e-04 2.764004e-03
XM_048721227.1  0.8288559  6.021447 1.315018e-04 2.764004e-03
XM_032367579.2  0.9002550  5.244223 1.373185e-04 2.877271e-03
XM_032384803.2  1.1533927  5.849873 1.390550e-04 2.904609e-03
XM_048721953.1 -0.6485937  3.789756 1.407563e-04 2.931043e-03
XM_032380616.2 -0.8485159  6.248515 1.419817e-04 2.947434e-03
XM_048721497.1 -0.8201505  6.443866 1.442940e-04 2.986219e-03
XM_001641062.3  1.2845502  6.843758 1.484598e-04 3.063009e-03
XM_001625668.3  0.7343246  4.716327 1.504748e-04 3.095088e-03
XM_001636497.3  0.7977795  4.756182 1.530889e-04 3.139257e-03
XM_032387003.2  0.9862219  6.186057 1.550809e-04 3.170438e-03
XM_048727187.1 -1.2353036  5.307775 1.601231e-04 3.263599e-03
XM_048719783.1 -0.6524843  4.042701 1.629239e-04 3.310652e-03
XM_048719790.1 -0.8359008  5.246343 1.709948e-04 3.464189e-03
XM_032372999.2 -0.7303254  4.699013 1.718664e-04 3.471391e-03
XM_048726450.1 -0.7436222  4.378398 1.734319e-04 3.492524e-03
XR_007314261.1 -1.0296461  8.381477 1.752954e-04 3.519513e-03
XM_048729302.1 -0.7844320  4.658877 1.805930e-04 3.615085e-03
XM_032369021.2 -0.7803802  5.775899 1.822950e-04 3.638327e-03
XM_048726260.1 -1.0191860  4.668611 1.841781e-04 3.665036e-03
XM_048728648.1  0.9386506  7.136692 1.847584e-04 3.665738e-03
XM_032377749.2 -0.7801230  5.997820 1.855276e-04 3.670173e-03
XM_048721326.1 -0.8852638  5.413657 1.909601e-04 3.766561e-03
XM_001640210.2  0.8014291  4.891759 1.960156e-04 3.854544e-03
XR_007306801.1 -0.8231464  6.634547 1.965668e-04 3.854544e-03
XM_032381213.2 -0.7379216  5.746290 1.989577e-04 3.890086e-03
XM_048727529.1 -0.8800358  4.178862 2.002892e-04 3.904769e-03
XR_004291135.2  0.8291096  4.440993 2.023805e-04 3.934136e-03
XM_001632539.3  0.7313102  5.805469 2.056362e-04 3.985906e-03
XM_048723524.1 -1.5759999 13.775222 2.064999e-04 3.991144e-03
XM_001635334.3 -0.7841360  5.781514 2.092215e-04 4.032159e-03
XM_001641219.2  0.7655026  6.407199 2.131775e-04 4.090735e-03
XM_001628684.3  0.8613174  5.342848 2.134773e-04 4.090735e-03
XM_048728498.1 -0.9875924  5.215501 2.146093e-04 4.092111e-03
XR_007305690.1  1.5066817  5.236587 2.147659e-04 4.092111e-03
XM_048725787.1 -0.6890430  4.381668 2.183382e-04 4.140329e-03
XM_048728540.1 -0.7251846  4.893426 2.185276e-04 4.140329e-03
XM_048722237.1 -0.8858665  4.613141 2.218787e-04 4.192012e-03
XM_032378053.2 -0.7535071  4.868163 2.254477e-04 4.247510e-03
XM_048724818.1  1.1785193  7.137258 2.266987e-04 4.259149e-03
XM_001638061.3 -0.6400706  4.237212 2.278340e-04 4.263663e-03
XM_032384128.2  0.8039729  6.061132 2.282068e-04 4.263663e-03
XM_048724703.1 -0.8191712  4.379674 2.308630e-04 4.300386e-03
XM_032365846.2 -0.6610979  4.352913 2.317303e-04 4.300386e-03
